Title,Year,Architects,Product,Category,Image
Pilar House / FILM-OBRAS DE ARQUITECTURA,2011,"FILM-OBRAS DE ARQUITECTURA (Carlos Fern?∞ndez, Jorge¨ÜIsa??as, Gabriel Lanosa, Claudio Maslat)Location",Brick,Houses,https://images.adsttc.com/media/images/5014/51c3/28ba/0d5b/4900/09da/newsletter/stringio.jpg?1416365656
Black Bear Casino Resort / Walsh Bishop,2011,Walsh Bishop,Brick,Others,https://images.adsttc.com/media/images/5014/7186/28ba/0d5b/4900/11bd/newsletter/stringio.jpg?1414419791
Social Houses Sandtlaan / HVE architecten,2011,HVE architecten,Brick,Others,https://images.adsttc.com/media/images/5014/68be/28ba/0d5b/4900/0fa0/newsletter/stringio.jpg?1414039565
B Street Lofts / Touloukian Touloukian Inc.,2011,Touloukian Touloukian Inc.Location,Brick,Others,https://images.adsttc.com/media/images/5014/e7e8/28ba/0d58/2800/0c05/newsletter/stringio.jpg?1361413699
Ilma Grove / Austin Maynard Architects,2011,Andrew Maynard Architects,Brick,Houses,https://images.adsttc.com/media/images/5015/4d05/28ba/0d02/f000/0c5f/medium_jpg/stringio.jpg?1414423772
Education 1 Facility / NAC Architecture,2011,NAC Architecture,Brick,Others,https://images.adsttc.com/media/images/5015/3203/28ba/0d02/f000/06bf/newsletter/stringio.jpg?1414008033
Rennie Art Gallery and Officess / Walter Francl Architects with mgb,2011,Walter Francl Architects with mgb,Brick,Others,https://images.adsttc.com/media/images/5015/4f6e/28ba/0d02/f000/0cce/newsletter/stringio.jpg?1414491977
National Park of Mali,2011,Kere Architecture,Brick,Others,https://images.adsttc.com/media/images/5015/9ce2/28ba/0d5a/4b00/05bf/newsletter/1315323677-24bamako-park-fka-9685.jpg?1436822673
Centre for Earth Architecture / Kere Architecture,2011,Kere Architecture,Brick,Others,https://images.adsttc.com/media/images/5015/9dec/28ba/0d5a/4b00/0608/newsletter/stringio.jpg?1361455419
Judicial Centre in Debrecen / Koller Studio,2011,Koller Studio,Brick,Others,https://images.adsttc.com/media/images/5015/a62a/28ba/0d5a/4b00/07d7/newsletter/stringio.jpg?1414412345
Dogger's Corner / LEVS architecten,2011,LEVS architecten,Brick,Houses,https://images.adsttc.com/media/images/5015/be8a/28ba/0d5a/4b00/0cc2/newsletter/stringio.jpg?1414006389
Golden Mile / LEVS Architecten,2011,LEVS Architecten,Brick,Apartments,https://images.adsttc.com/media/images/5015/dd1c/28ba/0d5a/4b00/12f7/newsletter/stringio.jpg?1361415162
Kings College  / Mitchell Taylor Workshop,2011,Mitchell Taylor Workshop,Brick,Others,https://images.adsttc.com/media/images/5015/fcba/28ba/0d15/9800/0569/newsletter/stringio.jpg?1414049757
780 Brewster / Lemay,2011,Lemay,Brick,Offices,https://images.adsttc.com/media/images/5015/feb8/28ba/0d15/9800/05d5/newsletter/stringio.jpg?1361425370
Duncan and McMurtry Colleges / Hopkins Architects with Hanbury Evans Wright Vlattas + Company,2011,Hopkins Architects with Hanbury Evans Wright Vlattas + Company,Brick,Others,https://images.adsttc.com/media/images/5016/62c9/28ba/0d14/1600/07b3/newsletter/stringio.jpg?1414467948
Pilgrim Route Refuge / Luis Aldrete,2011,Luis Aldrete,Brick,Others,https://images.adsttc.com/media/images/5016/aeb2/28ba/0d14/1600/0c53/medium_jpg/stringio.jpg?1414055058
The Shed / Richard Peters Associates,2011,Richard Peters Associates,Brick,Others,https://images.adsttc.com/media/images/5016/b89e/28ba/0d14/1600/0e3e/newsletter/stringio.jpg?1414221800
712 House / H Arquitectes,2011,H Arquitectes,Brick,Houses,https://images.adsttc.com/media/images/5016/d3d1/28ba/0d14/1600/1382/newsletter/stringio.jpg?1414464713
Tile and Concrete / Francesco Di Gregorio & Karin Matz,2011,Francesco Di Gregorio & Karin Matz,Brick,Others,https://images.adsttc.com/media/images/5016/e095/28ba/0d23/5b00/01f2/newsletter/stringio.jpg?1361421966
Inverted Warehouse-Townhouse / Dean-Wolf Architects,2011,Dean-Wolf Architects,Brick,Others,https://images.adsttc.com/media/images/5016/e7b8/28ba/0d23/5b00/0398/medium_jpg/stringio.jpg?1414463619
